id,unit,name,start,end,agency,acres,cause,start_year,duration,map_date
TGU-803,Mendocino NFMNF--154,Town,2000-03-31,2000-04-05,USFS,1500,escape control,2000,6,2000-03-31
MNF-177,Mendocino NF,Cabbage,2000-04-01,2000-04-01,USFS,1540,?,2000,1,2000-04-01
TGU-851,Mendocino NF MNF_178,Franklin,2000-04-02,2000-04-03,USFS,400,na,2000,2,2000-04-02
LMU-630,Lassen NF,PNF 151 (Robinson),2000-04-04,2000-04-05,USFS,500,na,2000,2,2000-04-04
BDU-4016,Mono County,Assist (Azusa),2000-05-29,2000-06-01,USFS,740,Campfire,2000,4,2000-05-29
TUU-4863,Tulare,Elephant,2000-06-01,2000-06-01,CDF,497,Control Burn,2000,1,2000-06-01
ANF-2059,Los Angeles,Dry,2000-06-06,2000-06-06,USFS,356,Under Invest.,2000,1,2000-06-06
VNC-14831,Ventura,Calabasas,2000-06-11,2000-06-11,CC,800,Under Invest.,2000,1,2000-06-11
LNU-3087,Napa,Berryessa,2000-06-13,2000-06-16,CDF,5731,Equip. Use,2000,4,2000-06-13
BTU-5945,Butte,Larkin,2000-06-13,2000-06-13,CDF,475,Under Invest.,2000,1,2000-06-13
TUU-5549,Tulare,Lindsay,2000-06-18,2000-06-18,CDF,400,Arson,2000,1,2000-06-18
VNC-16413,Ventura,Telegraph,2000-06-26,2000-06-26,CC,400,Equip. Use,2000,1,2000-06-26
VNC-16413,Ventura,Telegraph,2000-06-26,2000-06-26,CC,400,Equip. Use,2000,1,2000-06-26
TUU-5954,Tulare,Richgrove,2000-06-28,2000-06-28,CDF,450,Elec. Power,2000,1,2000-06-28
TUU-5954,Tulare,Richgrove,2000-06-28,2000-06-28,CDF,450,Elec. Power,2000,1,2000-06-28
MVU-4431,San Diego (exp002 in),Barrett,2000-06-29,2000-06-30,CDF,2000,Under Invest.,2000,2,2000-06-29
MVU-4431,San Diego (exp002 in),Barrett,2000-06-29,2000-06-30,CDF,2000,Under Invest.,2000,2,2000-06-29
MMU-9447,Mariposa,Granite,2000-07-02,2000-07-04,CDF,2000,Shooter,2000,3,2000-07-02
MMU-9447,Mariposa,Granite,2000-07-02,2000-07-04,CDF,2000,Shooter,2000,3,2000-07-02
BDU-5166,San Bernardino,Citrus,2000-07-03,2000-07-04,CDF,600,Under Invest.,2000,2,2000-07-03
BDU-5166,San Bernardino,Citrus,2000-07-03,2000-07-04,CDF,600,Under Invest.,2000,2,2000-07-03
BDU-5318,San Bernardino,Assist (Morgan),2000-07-07,2000-07-08,USFS,300,Under Invest.,2000,2,2000-07-07
BDU-5318,San Bernardino,Assist (Morgan),2000-07-07,2000-07-08,USFS,300,Under Invest.,2000,2,2000-07-07
TUU-6521,Tulare,Success,2000-07-09,2000-07-09,CDF,320,Arson,2000,1,2000-07-09
TUU-6521,Tulare,Success,2000-07-09,2000-07-09,CDF,320,Arson,2000,1,2000-07-09
LMU-1817,Lassen,Goat,2000-07-17,2000-07-20,CDF,1084,Campfire,2000,4,2000-07-17
LMU-1817,Lassen,Goat,2000-07-17,2000-07-20,CDF,1084,Campfire,2000,4,2000-07-17
SKU-2492,Siskiyou,Bark KNF Assist #12,2000-07-21,2000-07-26,USFS,1715,Under Invest.,2000,6,2000-07-21
SKU-2492,Siskiyou,Bark KNF Assist #12,2000-07-21,2000-07-26,USFS,1715,Under Invest.,2000,6,2000-07-21
BBD-1891,San Luis Obispo,Shell,2000-07-22,2000-07-22,USFS,6300,Under Invest.,2000,1,2000-07-22
BBD-1891,San Luis Obispo,Shell,2000-07-22,2000-07-22,USFS,6300,Under Invest.,2000,1,2000-07-22
MVU-5080,San Diego,Assist #18 Buckman,2000-07-22,2000-07-22,USFS,300,Under Invest.,2000,1,2000-07-22
MVU-5080,San Diego,Assist #18 Buckman,2000-07-22,2000-07-22,USFS,300,Under Invest.,2000,1,2000-07-22
BDU-5882,Inyo fire #168,Happy Camp,2000-07-23,2000-07-28,BLM,5500,Under Invest.,2000,6,2000-07-23
BDU-5882,Inyo fire #168,Happy Camp,2000-07-23,2000-07-28,BLM,5500,Under Invest.,2000,6,2000-07-23
SQF-1883,Tulare,Manter,2000-07-24,2000-08-09,USFS,74439,Under Invest.,2000,17,2000-07-24
